Date,Price,Open,High,Low,Vol.,Change %,,,Date,Price,Change %,Helper
5/21/2019,342.11,338.26,342.64,338.26,,1.51%,,,3/3/2020,341.78,-0.75%,4
5/20/2019,337.02,339.07,340.09,336.43,,-1.46%,,,3/4/2020,355.49,4.01%,3
5/17/2019,342.01,341.91,344.24,340.37,,-0.50%,,,3/5/2020,344.05,-3.22%,2
5/16/2019,343.72,341.55,344.97,341.5,,1.34%,,,3/6/2020,335.02,-2.62%,1
5/15/2019,339.18,338.57,341.56,336.34,,-0.24%,,,,,,
5/14/2019,339.99,337.75,342.56,337.54,,0.82%,,,,,,
5/13/2019,337.24,341.41,341.41,334.69,,-2.18%,,,,,,
5/10/2019,344.74,340.31,346.19,338.44,,1.27%,,,,,,
5/9/2019,340.41,339.39,341.61,336.49,,-0.80%,,,,,,
5/8/2019,343.17,343.23,344.74,341.85,,-0.10%,,,,,,
5/7/2019,343.52,347.83,347.83,341.69,,-1.82%,,,,,,
5/6/2019,349.89,351.4,351.4,347.74,,-1.38%,,,,,,
5/3/2019,354.79,352.02,354.91,351.7,,0.99%,,,,,,
5/2/2019,351.31,352.77,353.13,348.86,,-0.54%,,,,,,
5/1/2019,353.23,359.74,360.13,353.22,,-1.84%,,,,,,
4/30/2019,359.84,357.77,360.16,355.91,,0.88%,,,,,,
4/29/2019,356.71,356.76,357.69,355.45,,-0.18%,,,,,,
4/26/2019,357.37,354.36,358.25,353.85,,0.82%,,,,,,
4/25/2019,354.45,358.26,358.26,353.46,,-1.29%,,,,,,
4/24/2019,359.1,360.89,362.04,359.05,,-0.56%,,,,,,
4/23/2019,361.14,359.1,362.39,358.15,,0.44%,,,,,,
4/22/2019,359.56,361.35,361.75,359.22,,-0.67%,,,,,,
4/18/2019,362,361.4,362.95,360.15,,0.11%,,,,,,
4/17/2019,361.59,364.88,366.27,361.49,,-0.61%,,,,,,
4/16/2019,363.8,361.59,363.85,360.17,,0.47%,,,,,,
4/15/2019,362.09,363.8,364,361.51,,-0.46%,,,,,,
4/12/2019,363.77,361.27,363.79,360.88,,1.31%,,,,,,
4/11/2019,359.06,359.05,360.44,358.16,,-0.06%,,,,,,
4/10/2019,359.27,359.59,360.4,357.97,,-0.03%,,,,,,
4/9/2019,359.38,361.68,361.68,358.52,,-0.78%,,,,,,
4/8/2019,362.21,361.33,362.46,360.32,,0.05%,,,,,,
4/5/2019,362.03,361.84,363.44,361.04,,-0.05%,,,,,,
4/4/2019,362.21,358.82,362.22,358.64,,1.01%,,,,,,
4/3/2019,358.6,356.02,360.65,355.89,,1.33%,,,,,,
4/2/2019,353.9,352.68,375.93,352.17,,0.40%,,,,,,
4/1/2019,352.48,348.29,353.1,348.29,,1.50%,,,,,,
3/29/2019,347.27,344.3,347.49,343.26,,0.75%,,,,,,
3/28/2019,344.67,342.26,344.79,341.81,,0.95%,,,,,,
3/27/2019,341.42,341.37,342.42,338.95,,-0.09%,,,,,,
3/26/2019,341.72,340.76,342.74,339.34,,0.57%,,,,,,
3/25/2019,339.78,339.9,342.74,339.16,,-0.16%,,,,,,
3/22/2019,340.33,348.07,348.07,339.75,,-2.99%,,,,,,
3/21/2019,350.83,345.83,352.12,345.74,,1.04%,,,,,,
3/20/2019,347.21,347.29,348.96,343.94,,-0.05%,,,,,,
3/19/2019,347.38,348.83,351.78,345.92,,-0.15%,,,,,,
3/18/2019,347.89,347.01,348.38,345.35,,0.16%,,,,,,
3/15/2019,347.35,346.61,349.78,345.87,,0.20%,,,,,,
